"filename", "language", "JavaScript", "CSS", "XML", "YAML", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"c:\Users\Fabian\Documents\GTG\Website\.github\workflows\deploy.yml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\Fabian\Documents\GTG\Website\.github\workflows\test-deploy.yml", "YAML", 0, 0, 0, 30, 0, 0, 0, 0, 1, 31
"c:\Users\Fabian\Documents\GTG\Website\README.md", "Markdown", 0, 0, 0, 0, 29, 0, 0, 0, 6, 35
"c:\Users\Fabian\Documents\GTG\Website\new\event.css", "CSS", 0, 165, 0, 0, 0, 0, 0, 5, 30, 200
"c:\Users\Fabian\Documents\GTG\Website\new\event.html", "HTML", 0, 0, 0, 0, 0, 0, 52, 0, 8, 60
"c:\Users\Fabian\Documents\GTG\Website\new\images\discord.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Fabian\Documents\GTG\Website\new\images\facebook.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Fabian\Documents\GTG\Website\new\images\inst.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Fabian\Documents\GTG\Website\new\images\logo.svg", "XML", 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Fabian\Documents\GTG\Website\new\images\zoom.svg", "XML", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Fabian\Documents\GTG\Website\new\main.css", "CSS", 0, 144, 0, 0, 0, 0, 0, 6, 32, 182
"c:\Users\Fabian\Documents\GTG\Website\new\main.html", "HTML", 0, 0, 0, 0, 0, 0, 107, 5, 32, 144
"c:\Users\Fabian\Documents\GTG\Website\package.json", "JSON", 0, 0, 0, 0, 0, 57, 0, 0, 1, 58
"c:\Users\Fabian\Documents\GTG\Website\public\images\discord.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Fabian\Documents\GTG\Website\public\images\facebook.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Fabian\Documents\GTG\Website\public\images\inst.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Fabian\Documents\GTG\Website\public\images\logo.svg", "XML", 0, 0, 22, 0, 0, 0, 0, 0, 1, 23
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\add.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\audio.svg", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\audio_off.svg", "XML", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\chat.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\default_user.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\help.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\leave.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\like.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\liked.svg", "XML", 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\options.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\remove.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\send.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Fabian\Documents\GTG\Website\public\images\socials\settings.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
