"filename", "language", "JSON", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\Fabian\Documents\GTG\Website\package.json", "JSON", 2, 0, 0, 0, 0, 2
"c:\Users\Fabian\Documents\GTG\Website\src\Database.js", "JavaScript", 0, 41, 0, -1, 5, 45
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\Server\ClientConnection.js", "JavaScript", 0, 7, 0, 0, 2, 9
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\Server\ServerConnection.js", "JavaScript", 0, 29, 0, 1, 5, 35
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\dialog.css", "CSS", 0, 0, 56, 0, 1, 57
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\dialog.js", "JavaScript", 0, 28, 0, 0, 5, 33
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\scomponents\navigation-links.js", "JavaScript", 0, -15, 0, 0, -2, -17
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\settings.js", "JavaScript", 0, 1, 0, 0, 1, 2
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\settings\personal-information.js", "JavaScript", 0, -3, 0, 0, -1, -4
"c:\Users\Fabian\Documents\GTG\Website\src\Socials\socials-app.js", "JavaScript", 0, 33, 0, 0, 6, 39
"c:\Users\Fabian\Documents\GTG\Website\src\style.css", "CSS", 0, 0, 0, 0, -1, -1
"Total", "-", 2, 121, 56, 0, 21, 200
